Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,MN,2016,"12        ",Male,17,Right-Handed,168,23.5,165,2,Car,6,0.686,31,"Football (American)",,,,,,,23.5,"Same length",65,70,"Ring finger",January,Summer,Yes,No,Fruit,Water,"Physical education",8,8,10,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",200,200,5,1,3,24,6,4,4,4,4,1,0,3,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,"Education/Youth development"
USA,MN,2013,"12        ",Male,17,Right-Handed,172,25,172,1,Car,8,0.805,60,Tennis,1000,1000,449,717,1000,1000,25,"Same length",78,75,"Index finger",January,Winter,Yes,No,Pizza/Pasta,Juice,English,8,7,4,"Yes - broadband connection","Text messaging",30,22,0,0,0,4,0,1,3,2,10,3,5,4,Some,"Undergraduate degree","Rap/Hip hop",Invisibility,Rich,Teacher,Health
USA,MN,2023,"10        ",Male,16,Right-Handed,6'3,13,202,1,Car,5,0.385,32,"Football (American)",500,500,750,800,800,800,13,"Same length",90,80,"Index finger",September,Summer,Yes,No,Meat,Water,"Computers and technology",6,3,6,"Yes - broadband connection","Text messaging",50,50,50,60,30,80,60,30,50,60,30,30,12,10,"A lot","Graduate degree","Rap/Hip hop",Fly,Rich,Relative,Health
USA,MN,2017,"9         ",Male,16,Right-Handed,71,177.5,,2,Car,7,3.248,38,"Football (American)",600,550,700,800,0,0,,"Same length",,,"Same length",November,Fall,No,No,Meat,Milk,"Physical education",9,9,4,"Yes - broadband connection","Cell phone",1,2,10,0,20,30,50,5,5,1,2,3,0,6,"Very little","Graduate degree",Country,"Super strength",Happy,"Sports person",Health
USA,MN,2023,"10        ",Male,15,Right-Handed,172,27.8,174,3,Walk,10,0.4,53,"Martial Arts",0,0,0,0,0,1,27,"Right foot",7,8,"Ring finger",June,Summer,No,No,Breads/Sandwiches,Water,Art,8,8,2,"Yes - other","Internet chat or instant messaging",10,10,60,4,1,.5,1,0,0,0,0,5,0,1,"A lot","Graduate degree","Rap/Hip hop",Invisibility,Rich,"Sports person","Wildlife, animals"
USA,MN,2014,"8         ",Male,13,Right-Handed,141,26,160,1,Bicycle,35,1.19,85,Baseball/Softball,0,655,1000,1000,1000,1000,26,"Same length",9,7,"Index finger",February,Summer,No,No,Meat,"Soft drink (caffeinated)",Science,9,12,3,"Yes - other",Other,0,5,6,1,0,3,2,9,4,3,5,8,0,0,"A lot","Graduate degree",Other,Fly,Famous,Relative,Health
USA,MN,2021,"9         ",Female,14,Right-Handed,4'10,18cm,152.4,1,Bus,4,0.403,49,Running/Jogging,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2016,"12        ",Male,17,Right-Handed,165,26,172,2,Bus,10,.685,"63 ",Skateboarding/Rollerblading,244,233,888,973,198,781,26,"Left foot",95,102,"Ring finger",March,Summer,No,No,Meat,Milk,"Mathematics and statistics",6,8,7,"Yes - other","Myspace, Facebook, other social networking sites, or blog",10,5,0,0,10,3,0,10,16,3,18,4,0,3,Some,"Graduate degree",Other,"Freeze time",Rich,Relative,Health
USA,MN,2016,"12        ",Female,17,Right-Handed,157,20,157,1,Car,10,.77,45,Soccer,,,,,,,21,"Same length",70,70,"Same length",November,Fall,Yes,No,Fruit,Water,Science,8,9,5,"Yes - broadband connection","Cell phone",200,250,25,1,12,15,4,0,15,20,15,15,10,4,Some,"Graduate degree","Rap/Hip hop","Freeze time",Rich,Relative,Health
USA,MN,2013,"12        ",Male,18,Left-Handed,111,27,177,1,Car,2,.304,39,Running/Jogging,1000,1000,1000,1000,500,500,27,"Same length",9.3,9.5,"Ring finger",September,Fall,Yes,No,Meat,"Sports drink",History,8,8,4,"Yes - broadband connection","Text messaging",50,50,48,.5,1,24,24,24,24,24,24,24,27,24,"A lot",Other,Country,"Super strength",Healthy,Other,Health
USA,MN,2020,"9         ",Female,15,Left-Handed,5’3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2023,"7         ",Male,13,Right-Handed,124,20,,2,Car,9,.327,57,Other,0,1000,50,50,700,800,20,"Same length",57,60,"Ring finger",June,Winter,Yes,No,Meat,Water,Other,7,11,4,"Yes - other","Text messaging",7,7,4,0,1,2,6,6,0,0,6,5,0,1,Some,"Graduate degree",Other,"Freeze time",Rich,"Sports person",Health
USA,MN,2018,"9         ",Male,14,Right-Handed,158,24,181,1,Bus,15,.344,52,"Football (American)",594,1000,717,326,139,722,24,,80,102,"Ring finger",June,Summer,No,No,Poultry,Water,"Physical education",7,12,8,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,20,4,1,0,5,2,6,5,1,3,1,0,2,"Very little","Graduate degree","Rap/Hip hop",Fly,Rich,Relative,Health
USA,MN,2016,"9         ",Male,16,Right-Handed,163.8,25.4,86,2,Car,13,0.387,33,Lacrosse,1000,780,800,950,50,100,24.1,"Right foot",70,74,"Ring finger",April,Spring,No,No,Meat,Water,Science,7,8,4,"Yes - broadband connection","Text messaging",10,27,48,.5,10,5,,,,,,,,,,,,,,,
USA,MN,2015,"12        ",Male,16,Right-Handed,178,30,55,1,Car,5,.594,42,Other,283,476,535,604,401,904,30,"Same length",110,90,"Index finger",June,Fall,No,No,Meat,Juice,"Physical education",7,10,3,"Yes - broadband connection","Text messaging",20,11,48,2,3,84,10,3,10,15,3,6,5,10,Some,"Some college","Rap/Hip hop","Freeze time",Happy,Relative,"International aid"
USA,MN,2014,"11        ",Male,16,Right-Handed,197,25,190,3,Car,13,.28,31,Other,600,700,700,500,900,800,26,"Left foot",90,95,"Ring finger",January,Fall,No,No,Pizza/Pasta,Milk,History,6,7,3,"Yes - broadband connection","Internet chat or instant messaging",0,1,18,4,3,12,0,20,2,0,20,4,0,4,"Very little","Graduate degree",Other,Invisibility,Rich,"Musician or singer","Arts, culture, sports"
USA,MN,2019,"12        ",Male,17,Left-Handed,178,25,177,1,Car,30,0.405,42,Other,500,500,500,500,500,500,25,"Same length",97,98,"Ring finger",July,Summer,Yes,No,Pizza/Pasta,Water,Science,8,10,4,"Yes - broadband connection","In person",0,0,1,0,25,2,0,0,2,0,30,0,0,5,"A lot","Graduate degree","Heavy metal","Freeze time",Happy,Other,Environment
USA,MN,2021,"9         ",Male,14,Right-Handed,182,26,165,2,Car,10,",447",41,Baseball/Softball,500,500,500,500,700,700,26,"Same length",80,100,"Ring finger",November,Spring,No,No,Meat,"Soft drink (caffeinated)","Mathematics and statistics",7,6,3,"Yes - other",Other,1-2,0,42,2,10,20,10,20,0,",5",10,5,0,5,"Very little","Some college","Rock and roll",Fly,Healthy,"Sports person","Wildlife, animals"
USA,MN,2013,"4         ",Female,9,Right-Handed,142,21,141,1,Car,5,0.36,0.36,Dancing,690,422,727,749,262,332,21,"Same length",70,60,"Index finger",August,Summer,No,No,Salads,Juice,Art,9,6,4,"No internet connection","Text messaging",20,21,14,1,25,35,15,1,0,1,0,2,0,3,"Very little","Some college",Pop,Telepathy,Healthy,Friend,"Wildlife, animals"
USA,MN,2016,"12        ",Female,17,Right-Handed,160,22,171.5,2,Bus,9,,,Other,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2013,"12        ",Male,19,Right-Handed,162,22.5,162,3,Bus,10,0.41,55,Dancing,1000,1000,1000,1000,1000,1000,22,"Right foot",75,82,"Ring finger",May,Fall,No,No,"Rice/Noodle dishes",Water,Art,7,6,5,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,100,3,2,10,4,1,2,2,1,7,1,0,3,"Very little",Other,Other,Fly,Healthy,Relative,"International aid"
USA,MN,2013,"12        ",Male,17,Right-Handed,170,27,172,1,Car,10,.363,41,Other,1000,1000,100,700,1000,1000,27,"Same length",85,95,"Ring finger",April,Spring,Yes,No,Other,Juice,Science,8,9,4,"Yes - broadband connection","Cell phone",0,1,2,.5,12,3,3,4,4,0,4,0,2,1,None,"High school","Rock and roll","Freeze time",Happy,Friend,Other
USA,MN,2022,"10        ",Female,15,Left-Handed,154.9,25.4,157.4,1,Car,15,4.15,40,Tennis,500,700,300,100,600,600,24.13,"Right foot",9.144,7.874,"Index finger",August,Fall,No,No,Other,Water,Art,7,10,6,"Yes - dial-up connection","In person",0,1,8,1,9,20,10,12,14,4,6,1,1,5,Some,"Some college",Pop,Invisibility,Happy,Friend,Environment
USA,MN,2018,"9         ",Male,16,Ambidextrous,511,8,65,1,Car,7,12,60,Basketball,100,100,100,80,40,60,8,"Same length",6,5,"Same length",January,Summer,Yes,No,Other,Other,History,6,5,7,"Yes - other","Text messaging",2,6,2,1,1,2,4,1,2,1,1,0,1,1,Some,"High school","Rap/Hip hop",Invisibility,Rich,Actor,Health
USA,MN,2014,"8         ",Female,13,Right-Handed,14,21,153,20,Bus,10,18932,52,Soccer,750,1000,1000,1000,1000,1000,20,"Left foot",85,95,"Same length",September,Summer,Yes,No,Meat,Juice,Other,8,13,10,"Yes - dial-up connection","Myspace, Facebook, other social networking sites, or blog",100,100,8,2,1,1,5,0,0,2,2,3,2,0,"Very little","Graduate degree",Other,Fly,Happy,Other,"International aid"
USA,MN,2016,"11        ",Female,17,Right-Handed,"167 ",27,159.5,1,Car,25,0.399,50,"Hockey (Ice)",588,604,866,353,1000,1000,26,"Right foot",75,85,"Ring finger",June,Summer,No,No,Pizza/Pasta,Milk,History,7.5,10,4,"Yes - broadband connection","Text messaging",100,150,6,1,20,3,15,0,7,3,25,3,0,1,"A lot","Graduate degree",Pop,Telepathy,Happy,Friend,"International aid"
USA,MN,2018,"12        ",Male,17,Right-Handed,180,27,184,2,Walk,2,0.293,30,Tennis,1000,1000,900,600,200,900,26,"Right foot",100,150,"Ring finger",June,Fall,No,No,Fruit,Water,,9,6,4,"Yes - broadband connection","Cell phone",80,90,6,2,3,4,3,9,4,10,9,0,0,0,"Very little","Some college",Classical,Invisibility,Happy,Friend,Environment
USA,MN,2019,"12        ",Male,17,Right-Handed,194,29,201,1,Bus,,0.33,30,Other,925,727,690,733,930,861,11,"Right foot",,,"Same length",January,Fall,No,No,Desserts,Water,"Computers and technology",8,7,3,"Yes - broadband connection","In person",2,2,4,1,4,6,4,7,4,1,7,4,20,5,"A lot",Other,Other,Telepathy,Happy,Other,"Education/Youth development"
USA,MN,2014,"11        ",Female,16,Right-Handed,162,26,162,1,Car,8,.33,37,Dancing,400,500,400,400,500,1000,26,"Same length",90,92,"Ring finger",November,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7,10,3,"Yes - broadband connection","Text messaging",70,100,15,1,2,15,12,0,4,4,0,10,4,2,"A lot","Graduate degree",Country,Fly,Happy,Friend,Health
USA,MN,2015,"12        ",Male,18,Right-Handed,180,30,160,1,Car,10,0.4,49,"Hockey (Ice)",500,500,500,600,800,700,30,"Same length",40,50,"Ring finger",July,Fall,No,No,Pizza/Pasta,Water,"Physical education",5,9,6,"Yes - broadband connection","Cell phone",10,10,5,1,5,1,5,2,5,2,6,1,6,0,"A lot","Graduate degree","Rap/Hip hop",Fly,Famous,"Musician or singer","Education/Youth development"
USA,MN,2014,"11        ",Male,16,Right-Handed,183,26,183,1,Bus,40,.417,39,Other,500,700,100,400,700,900,26,"Same length",86,90,"Ring finger",December,Summer,Yes,No,Meat,Water,Art,6,12,3,"Yes - broadband connection","In person",0,0,1,0,10,3,0,40,1,0,10,1,0,1,Some,"Graduate degree",Techno/Electronic,Telepathy,Happy,Friend,"Wildlife, animals"
USA,MN,2016,"11        ",Female,16,Right-Handed,60,25,60,2,Bus,30,.371,37,Running/Jogging,950,900,900,950,1000,1000,26,"Left foot",10,13,"Ring finger",July,Fall,Yes,Yes,"Rice/Noodle dishes",Water,English,8.5,10,4,"Yes - broadband connection","Text messaging",20,20,0,2,18,30,7.5,4,5,5,0,10,0,3,"A lot","Graduate degree",Other,"Freeze time",Rich,Actor,"Education/Youth development"
USA,MN,2019,"9         ",Female,15,Right-Handed,178,29,178,1,Car,20,.392,46,Swimming,900,700,500,500,300,500,29,"Same length",11,14,"Ring finger",May,Fall,Yes,Yes,"No favorite",Water,Science,7,10,5,"Yes - other","Text messaging",15,178,5,2,17,10,25,4,3,5,10,7,0,5,"A lot","Graduate degree",Other,Invisibility,Healthy,"Doctor or nurse",Health
USA,MN,2020,"9         ",Male,15,Right-Handed,175.2,41,30,3,Walk,8,0.414,32,Soccer,500,800,800,800,300,500,41,"Same length",,,"Ring finger",March,Summer,No,No,Meat,Water,History,8,6,6,"Yes - other","In person",70,70,10,3,6,10,24,4,4,5,4,4,3,5,"Very little","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Business person","Education/Youth development"
USA,MN,2022,"12        ",Male,17,Right-Handed,6.2,28.9,23.0,0,Car,5min,6.3,7min,Basketball,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Same length",n/a,n/a,,November,Summer,Yes,Yes,Seafood,Water,Other,9,n/a,n/a,"No internet connection","In person",n/a,n/a,,,,,,,,,,,,,Some,"Less than high school",Country,"Super strength",Famous,"Coach or club leader","International aid"
USA,MN,2016,"12        ",Female,17,Right-Handed,169,23,167,1,Car,15,0.453,28,Swimming,1000,400,900,800,100,600,24,"Left foot",7.5,8.5,"Ring finger",July,Summer,No,Yes,Fruit,Water,Science,8,8,3,"Yes - broadband connection","Text messaging",160,180,4,.5,12,10,14,0,5,7,5,0,3,2,"A lot","Undergraduate degree","Rap/Hip hop",Telepathy,Happy,"Sports person","Wildlife, animals"
USA,MN,2017,"12        ",Male,18,Right-Handed,183,26.5,186,2,Car,10,0.349,43,Running/Jogging,541,369,721,783,984,976,26.4,"Right foot",106,115,"Ring finger",January,Summer,Yes,No,,Water,"Mathematics and statistics",6,6,7,"Yes - broadband connection","Internet chat or instant messaging",2,1,2,14,5,2,1,0,14,21,35,0,0,1,"Very little","Graduate degree",Classical,Fly,Rich,"Business person",Health
USA,MN,2023,"12        ",Female,17,Right-Handed,156,24,161,1,Car,40,0.356,47,Soccer,1000,900,900,500,500,1000,23,"Right foot",90,95,"Ring finger",March,Summer,Yes,No,"Rice/Noodle dishes","Energy drink","Mathematics and statistics",5,9,6,"Yes - broadband connection","Cell phone",5,12,6,2,7,7,10,0,21,2,24,0,15,4,Some,"Graduate degree",Pop,Fly,Happy,Other,Environment
USA,MN,2019,"9         ",Female,15,Right-Handed,165,27.5,161,2,Car,30," 0.41",43,Lacrosse,1000,1000,100,50,1000,1000,27.5,"Same length",47,46,,December,Summer,No,Yes,Seafood,Water,English,7,10,3,"Yes - broadband connection","In person",30,30,40,5,4,10,15,0,15,15,15,5,7,15,Some,"Graduate degree","Rap/Hip hop",,Happy,Relative,"Wildlife, animals"
USA,MN,2021,"5         ",Female,11,Right-Handed,138,20,138,3,Bus,15,0.736,31,Other,500,500,700,800,1000,10000,21,"Same length",100,90,"Index finger",November,Spring,No,Yes,Desserts,Water,"Physical education",9,10,3,"Yes - broadband connection","Internet chat or instant messaging",2,3,3,0.5,1,2,7,8,10,2,10,11,0,0.5,None,Other,Pop,"Freeze time",Happy,Actor,Health
USA,MN,2013,"12        ",Female,18,Right-Handed,171,27,174,2,Car,8,0.328,45,Dancing,1000,658,652,904,358,1000,27,"Same length",76,84,"Ring finger",November,Fall,No,Yes,Pizza/Pasta,Coffee,"Social studies",8,10,2,"Yes - broadband connection","Text messaging",250,250,20,,,,,,,,,,,,,,,,,,
USA,MN,2020,"9         ",Male,15,Left-Handed,5'7,10,"4 ft",2,Boat,30min,0.417,43,Other,1000,1000,1000,1000,500,500,10,"Left foot",5,6,"Index finger",March,Summer,Yes,No,Other,"Sports drink",Languages,2,1,7,"No internet connection",Other,1763,3,0,0,2,12,12,0,0,0,0,0,0,0,"A lot","Some college",Other,"Freeze time",Rich,Other,"Arts, culture, sports"
USA,MN,2019,"11        ",Male,17,Right-Handed,190,26.7,188,1,Car,15,.47,40,Other,1000,1000,900,900,300,800,27,"Left foot",95.25,101.6,"Ring finger",May,Fall,No,No,Pizza/Pasta,Water,Other,6,6,4,"Yes - broadband connection","Text messaging",30,30,5,1,5,7,3,8,2,4,3,1,0,2,Some,"Graduate degree",Country,"Super strength",Happy,Relative,Environment
USA,MN,2015,"12        ",Male,16,Right-Handed,164,34,165,0,Boat,1,0.44,110,None,0,0,0,0,0,0,34,"Same length",6,8,"Same length",May,Fall,No,No,Desserts,"Soft drink (caffeinated)",Other,6,8,9,"No internet connection",Other,0,0,5,0,0,0,0,0,0,0,0,0,22,6,None,"Less than high school",Country,Invisibility,Rich,Other,"Wildlife, animals"
USA,MN,2019,"11        ",Male,16,Right-Handed,185,26,170,1,Car,5,.31,55,Soccer,999,800,600,500,1000,1000,27,"Left foot",80,85,"Ring finger",March,Spring,No,No,Meat,Water,History,7,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",50,60,8,12,2,3,3,2,9,2,3,2,2,4,"A lot","Graduate degree","Rap/Hip hop","Freeze time",Rich,"Doctor or nurse",Environment
USA,MN,2016,"11        ",Male,15,Right-Handed,175,26,170,1,Bus,60,0.314,37,Other,845,829,818,738,578,695,25,"Right foot",83,83,"Same length",December,Winter,No,No,Pizza/Pasta,Water,Art,8,11,3,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",10,30,5,0,8,2,10,2,10,2,15,1,0,1,"A lot","Graduate degree","Rap/Hip hop",Fly,Happy,Other,Environment
USA,MN,2014,"11        ",Male,16,Left-Handed,170,29,83,1,Bus,25,.379,39,"Football (American)",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2016,"11        ",Female,16,Left-Handed,153,25.8,164,2,Car,10,0.317,,Baseball/Softball,700,600,400,300,700,700,25,"Right foot",9.2,10.1,"Ring finger",March,Fall,Yes,No,Pizza/Pasta,Water,Art,9,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",20,19,10,1,32,24,14,1,12,12,32,0,0,1,"A lot","Graduate degree",Pop,Fly,Happy,Friend,"International aid"
USA,MN,2014,"6         ",Male,12,Right-Handed,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"9         ",Male,14,Right-Handed,177.8,27,,1,Bus,18,0.359,"42 ",Basketball,0,0,0,1000,1000,1000,27,"Same length",,,"Same length",July,Summer,No,No,"No favorite",Water,Music,7,2,99999,"Yes - other","In person",40,48,4,1,1,2,4,15,3,1,15,1,0,1,Some,"Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person","Education/Youth development"
USA,MN,2014,"11        ",Male,15,Right-Handed,183,28,183,1,Bus,31,.351,27,Running/Jogging,203,278,219,225,620,765,28,"Same length",81,90,"Ring finger",June,Summer,Yes,No,Pizza/Pasta,Water,"Mathematics and statistics",7.5,9,4,"Yes - broadband connection","In person",15,20,2,0,3,2,7,1,0,2,4,7,0,1,Some,"Graduate degree",Classical,Telepathy,Happy,"Religious figure",Religious
USA,MN,2016,"12        ",Male,17,Right-Handed,168,22.5,164,1,Bus,10,.785,39,Other,1000,1000,990,998,500,600,22.5,"Same length",70,80,"Ring finger",August,Winter,Yes,No,Other,Water,"Physical education",8,9,5,"Yes - other","Myspace, Facebook, other social networking sites, or blog",0,0,2,1,5,3,0,30,6,0,30,3,0,0,Some,"Graduate degree",Other,"Freeze time",Happy,Relative,Environment
USA,MN,2019,"11        ",Female,16,Right-Handed,173,25,170,1,Car,13,.782,55,Tennis,1000,900,900,900,100,200,26,"Left foot",90,100,"Ring finger",May,Winter,No,No,Pizza/Pasta,Water,English,8,9,4,"Yes - broadband connection","Text messaging",15,15,,,,,,,,,,,,,"Very little","Undergraduate degree","Rock and roll",Fly,Happy,Relative,Environment
USA,MN,2020,"9         ",Male,15,Right-Handed,5'11,27.80,81.10,2,Bus,18,0.099,31,Soccer,1000,1000,1000,700,300,500,27.80,"Same length",,,,September,Spring,No,No,Meat,Water,"Physical education",10,6,5,"Yes - broadband connection","Text messaging",12,14,2,0,0,3,2,3,7,7,1,1,0,1,Some,"Some college","Rap/Hip hop",Telepathy,Rich,"Musician or singer","International aid"
USA,MN,2019,"11        ",Female,16,Right-Handed,5'8,220,1510,2,Bus,"40 ",0.377,41,None,1000,1000,1000,1000,100,1000,220,"Left foot",85,90,"Ring finger",August,Summer,No,No,Pizza/Pasta,Juice,Art,8,6,10,"Yes - other","Text messaging",20,10,0,2,2,2,0,0,7,3,12,1,0,24,"A lot","Some college",Other,"Freeze time",Rich,Other,Health
USA,MN,2017,"12        ",Female,17,Ambidextrous,164,25,155.2,2,Bus,10,0.38,33,Dancing,668,668,882,813,877,877,25.4,"Left foot",80,93,"Ring finger",May,Fall,Yes,No,Meat,Water,Music,7,9,7,"Yes - broadband connection","Text messaging",17,20,10,0,3.5,2,5,14,7,20,25,3,0,2,Some,"Graduate degree",Country,Telepathy,Happy,Friend,"Wildlife, animals"
USA,MN,2018,"9         ",Female,14,Right-Handed,5,8.5,135,1,Walk,3,36,46,Dancing,396,529,535,545,556,1000,8.5,"Right foot",9,9,,December,Summer,Yes,No,Pizza/Pasta,Water,Other,9,12.5,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",5,6,1,0,1.5,3,0,0,16,1,16,5,0,2,Some,Other,"Rap/Hip hop",Telepathy,Happy,Relative,Health
USA,MN,2016,"11        ",Female,16,Right-Handed,69.3,24.4,66.1,2,Bus,22,0.396,51,Tennis,950,950,960,980,980,1000,24.2,"Right foot","7.2 ",6.8,"Index finger",April,Spring,No,No,Pizza/Pasta,Water,Art,6,8,6,"Yes - other","In person",15,16,14,1,14,10,48,0,24,4,14,5,0,5,"A lot",Other,Pop,Telepathy,Happy,Relative,Health
USA,MN,2014,"11        ",Female,15,Right-Handed,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2019,"12        ",Male,17,Ambidextrous,182.2,30,180,2,Car,2,.19,28,"Football (American)",508,1000,492,722,278,652,30,"Same length",65,70,"Ring finger",January,Fall,Yes,No,Pizza/Pasta,Water,"Physical education",5,4,3,"Yes - other","Internet chat or instant messaging",5,9,2,2,1,1,4,0,8,2,0,2,12,5,Some,"High school","Rap/Hip hop","Super strength",Happy,"Sports person","Education/Youth development"
USA,MN,2018,"9         ",Female,14,Right-Handed,5.7,7,,4,Walk,1,0.329,47,Dancing,800,850,1000,900,400,1000,23.5,"Same length",40,,"Index finger",December,Winter,Yes,No,"No favorite",Milk,History,6,11,4,"Yes - other","Text messaging",30,50,"3 ",1,1,3,2,3,8,4,24,4,9,2,"Very little","High school",Other,"Super strength",Famous,"Musician or singer","Wildlife, animals"
USA,MN,2017,"12        ",Male,18,Right-Handed,172,28,180,2,Car,11,0.342,47,Soccer,497,802,102,545,909,1000,26,"Right foot",13.4,8.5,"Index finger",August,Winter,No,No,Seafood,Juice,"Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",300,150,1,15,6,2,2,0,3,40,4,10,25,5,"A lot","Graduate degree","Heavy metal","Freeze time",Happy,"Business person",Health
USA,MN,2014,"11        ",Female,15,Left-Handed,165,16,80,1,Car,15,.276,40,Baseball/Softball,900,500,500,500,700,700,16,"Same length",70,65,"Ring finger",September,Summer,No,No,"Rice/Noodle dishes",Water,"Mathematics and statistics",7,9,4,"Yes - broadband connection","Text messaging",30,30,5,0,10,10,5,0,4,5,1,7,0,2,"Very little","Graduate degree",Pop,Telepathy,Happy,Relative,Health
USA,MN,2016,"11        ",Male,17,Right-Handed,184,26,142,1,Car,30,.315,56,"Hockey (Field)",900,800,900,900,500,900,26,"Same length",7,60,"Index finger",September,Winter,No,No,Meat,Water,"Mathematics and statistics",7,7,5,"Yes - other","Text messaging",100,100,12,.2,10,3,3,2,5,2,6,1,0,1,Some,"Undergraduate degree","Rap/Hip hop",Fly,Healthy,"Sports person",Environment
USA,MN,2013,"12        ",Female,21,Right-Handed,125,23,157,2,Car,15,1258,14,Walking/Hiking,1000,1000,1000,1000,0,0,,,17,7,"Index finger",December,Fall,No,No,Pizza/Pasta,Water,Other,8,6,2,"Yes - other","Text messaging",5,5,5,0,2,8,0,0,0,0,2,0,4,4,"Very little","Graduate degree","Rap/Hip hop","Freeze time",Healthy,Relative,Health
USA,MN,2014,"11        ",Female,17,Right-Handed,178,23,87,1,Bus,50,0.396,33,Other,556,503,775,882,1000,1000,24,"Left foot",80,70,"Index finger",July,Winter,No,No,Poultry,Milk,Art,7,9,4,"Yes - broadband connection","In person",0,0,6,0,0,0,0,49,49,0,49,10,0,0,"A lot","Some college",Techno/Electronic,Invisibility,Happy,Friend,Health
USA,MN,2023,"10        ",Female,15,Right-Handed,156cm,24cm,159cm,1,Bus,30,0.436,48,Other,1000,1000,503,16,0,0,24cm,"Same length",8,9,"Same length",August,Summer,Yes,No,Seafood,"Soft drink (caffeinated)","Physical education",6,6,5,"Yes - other","Text messaging",50,23,6,12,1,24,0,1,24,24,24,24,7,0,"A lot","Some college","Rhythm and blues (R&B)",Fly,Rich,Other,Environment
USA,MN,2014,"11        ",Female,16,Right-Handed,162.6,22,155,1,Bus,15,.339,74,Tennis,500,300,400,300,300,600,22,,81,80,"Index finger",October,Fall,Yes,No,Vegetables,Water,Art,6,8,2,"Yes - broadband connection","In person",20,22,10,3,4,14,5,0,0,2,6,6,9,3,Some,"Graduate degree",Country,Telepathy,Happy,Relative,Health
USA,MN,2016,"11        ",Female,17,Left-Handed,58,8.9,51.3,1,Car,10,0.315,34,Basketball,209,86,658,642,476,834,25,"Left foot",9,8.9,"Index finger",July,Fall,No,No,Desserts,"Soft drink (non-caffeinated)",English,8,10,3,,"Text messaging",100,300,18,2,3,4,3,1,19,23,8,12,7,2,Some,"High school",Pop,Telepathy,Happy,"Doctor or nurse","Arts, culture, sports"
USA,MN,2013,"4         ",Female,10,Left-Handed,1421,19,142,2.5,Walk,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2013,"4         ",Male,10,Right-Handed,139,22,156,1,Bus,45,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,MN,2018,"9         ",Male,14,Ambidextrous,154.9,22,,1,Car,5,0.353,53,Basketball,878,567,1000,568,324,866,21,"Right foot",60,70,"Ring finger",May,Spring,No,No,Seafood,Juice,"Physical education",8,10,4,"No internet connection","In person",100,112,15,120,5,24,15,3,24,18,48,3,0,7,Some,"Some college","Rap/Hip hop","Super strength",Rich,"Sports person","Arts, culture, sports"
